дата;точка;источник;заказов;сумма_со_скидкой;сумма_скидки
2024-01-01;Лазарева;Glovo;13;8695.0;0.0
2024-01-01;Лазарева;доставка;20;15358.15;365.85
2024-01-01;Левітана;Glovo;26;20514.0;106.0
2024-01-01;Левітана;доставка;27;24681.1;1067.9
2024-01-01;Левітана;самовывоз;5;3548.0;0.0
2024-01-02;Лазарева;Glovo;5;2608.0;0.0
2024-01-02;Лазарева;доставка;30;27520.87;721.13
2024-01-02;Лазарева;самовывоз;3;1702.5;193.5
2024-01-02;Левітана;Glovo;6;3693.0;0.0
2024-01-02;Левітана;доставка;38;36310.48;1501.52
2024-01-02;Левітана;самовывоз;8;6081.0;106.0
2024-01-03;Лазарева;Glovo;3;977.0;0.0
2024-01-03;Лазарева;доставка;35;28538.46;1460.54
2024-01-03;Лазарева;самовывоз;3;1886.2;5.8
2024-01-03;Левітана;Glovo;9;5911.0;0.0
2024-01-03;Левітана;доставка;30;26886.0;668.0
2024-01-03;Левітана;самовывоз;8;6690.5;422.5
2024-01-04;Лазарева;Glovo;3;1724.0;0.0
2024-01-04;Лазарева;доставка;21;22097.03;927.97
2024-01-04;Лазарева;самовывоз;3;2764.5;144.5
2024-01-04;Левітана;Glovo;10;7210.0;0.0
2024-01-04;Левітана;доставка;32;31534.19;1300.81
2024-01-04;Левітана;самовывоз;3;2112.0;235.0
2024-01-05;Лазарева;Glovo;2;1339.2;0.0
2024-01-05;Лазарева;доставка;49;44586.24;1742.76
2024-01-05;Лазарева;самовывоз;9;4729.75;809.25
2024-01-05;Левітана;Glovo;9;5968.4;0.0
2024-01-05;Левітана;доставка;47;44157.43;1412.57
2024-01-05;Левітана;самовывоз;9;5108.0;487.0
2024-01-06;Лазарева;Glovo;6;3764.2;0.0
2024-01-06;Лазарева;доставка;36;38965.7;935.3
2024-01-06;Лазарева;самовывоз;6;4793.56;499.44
2024-01-06;Левітана;Glovo;9;7749.2;0.0
2024-01-06;Левітана;доставка;36;38246.82;1172.18
2024-01-06;Левітана;самовывоз;8;5062.2;751.8
2024-01-07;Лазарева;Glovo;11;6860.4;0.0
2024-01-07;Лазарева;доставка;40;42527.91;1533.09
2024-01-07;Лазарева;самовывоз;3;1201.0;202.0
2024-01-07;Левітана;Glovo;18;12288.2;0.0
2024-01-07;Левітана;доставка;61;50296.2;1251.8
2024-01-07;Левітана;самовывоз;13;13770.0;168.0
2024-01-08;Лазарева;Glovo;17;9120.0;0.0
2024-01-08;Лазарева;доставка;33;29130.0;726.0
2024-01-08;Лазарева;самовывоз;6;2856.0;417.0
2024-01-08;Левітана;Glovo;28;14297.2;0.0
2024-01-08;Левітана;доставка;38;28776.06;1676.94
2024-01-08;Левітана;самовывоз;5;3282.0;120.0
2024-01-09;Лазарева;Glovo;20;13439.0;0.0
2024-01-09;Лазарева;доставка;29;28468.0;560.0
2024-01-09;Лазарева;самовывоз;2;482.5;147.5
2024-01-09;Левітана;Glovo;34;19841.0;0.0
2024-01-09;Левітана;доставка;29;26106.18;660.82
2024-01-09;Левітана;самовывоз;9;5317.1;681.9
2024-01-10;Лазарева;Glovo;13;7340.0;0.0
2024-01-10;Лазарева;доставка;28;25950.76;1550.24
2024-01-10;Лазарева;самовывоз;3;1817.0;0.0
2024-01-10;Левітана;Glovo;21;13520.0;0.0
2024-01-10;Левітана;доставка;36;38470.98;1692.02
2024-01-10;Левітана;самовывоз;10;6038.5;454.5
2024-01-11;Лазарева;Glovo;15;9709.0;59.0
2024-01-11;Лазарева;доставка;33;27478.67;922.33
2024-01-11;Лазарева;самовывоз;6;1715.5;596.5
2024-01-11;Левітана;Glovo;20;13380.0;0.0
2024-01-11;Левітана;доставка;33;27547.95;1051.05
2024-01-11;Левітана;самовывоз;8;3647.0;613.0
2024-01-12;Лазарева;Glovo;13;9528.0;0.0
2024-01-12;Лазарева;доставка;45;40548.02;990.98
2024-01-12;Лазарева;самовывоз;3;484.0;484.0
2024-01-12;Левітана;Glovo;20;12744.0;0.0
2024-01-12;Левітана;доставка;59;56094.28;995.72
2024-01-12;Левітана;самовывоз;12;7129.5;152.5
2024-01-13;Лазарева;Glovo;23;14702.0;0.0
2024-01-13;Лазарева;доставка;51;48984.87;1814.13
2024-01-13;Лазарева;самовывоз;8;5545.12;311.88
2024-01-13;Левітана;Glovo;16;11288.0;0.0
2024-01-13;Левітана;доставка;74;75670.78;1927.22
2024-01-13;Левітана;самовывоз;7;5671.5;443.5
2024-01-14;Лазарева;Glovo;11;8489.0;0.0
2024-01-14;Лазарева;доставка;39;42074.7;1470.3
2024-01-14;Лазарева;самовывоз;2;1407.0;0.0
2024-01-14;Левітана;Glovo;27;16143.0;0.0
2024-01-14;Левітана;доставка;51;49632.39;1633.61
2024-01-14;Левітана;самовывоз;11;8565.4;352.6
