дата;точка;источник;заказов;позиций_всего
2025-01-01;Лазарева;Glovo;25;64.0
2025-01-01;Лазарева;доставка;22;93.0
2025-01-01;Лазарева;самовывоз;2;15.0
2025-01-01;Левітана;Glovo;27;66.0
2025-01-01;Левітана;доставка;35;150.0
2025-01-01;Левітана;самовывоз;7;24.0
2025-01-02;Лазарева;Glovo;7;19.0
2025-01-02;Лазарева;доставка;20;76.0
2025-01-02;Лазарева;самовывоз;3;5.0
2025-01-02;Левітана;Glovo;15;39.0
2025-01-02;Левітана;доставка;27;104.0
2025-01-02;Левітана;самовывоз;14;52.0
2025-01-03;Лазарева;Glovo;9;21.0
2025-01-03;Лазарева;доставка;31;145.0
2025-01-03;Лазарева;самовывоз;4;6.0
2025-01-03;Левітана;Glovo;10;29.0
2025-01-03;Левітана;доставка;30;149.0
2025-01-03;Левітана;самовывоз;7;25.0
2025-01-04;Лазарева;Glovo;9;19.0
2025-01-04;Лазарева;доставка;33;122.0
2025-01-04;Лазарева;самовывоз;4;16.0
2025-01-04;Левітана;Glovo;6;15.0
2025-01-04;Левітана;доставка;45;198.0
2025-01-04;Левітана;самовывоз;9;46.0
2025-01-05;Лазарева;Glovo;12;28.0
2025-01-05;Лазарева;доставка;24;115.0
2025-01-05;Лазарева;самовывоз;3;6.0
2025-01-05;Левітана;Glovo;8;27.0
2025-01-05;Левітана;доставка;35;128.0
2025-01-05;Левітана;самовывоз;2;8.0
2025-01-06;Лазарева;Glovo;7;19.0
2025-01-06;Лазарева;доставка;15;66.0
2025-01-06;Лазарева;самовывоз;6;12.0
2025-01-06;Левітана;Glovo;10;35.0
2025-01-06;Левітана;доставка;39;149.0
2025-01-06;Левітана;самовывоз;9;22.0
2025-01-07;Лазарева;Glovo;9;26.0
2025-01-07;Лазарева;доставка;27;118.0
2025-01-07;Лазарева;самовывоз;3;8.0
2025-01-07;Левітана;Glovo;12;34.0
2025-01-07;Левітана;доставка;29;107.0
2025-01-07;Левітана;самовывоз;9;25.0
2025-01-08;Лазарева;Glovo;9;32.0
2025-01-08;Лазарева;доставка;26;123.0
2025-01-08;Лазарева;самовывоз;5;14.0
2025-01-08;Левітана;Glovo;9;27.0
2025-01-08;Левітана;доставка;34;133.0
2025-01-08;Левітана;самовывоз;5;11.0
2025-01-09;Лазарева;Glovo;4;12.0
2025-01-09;Лазарева;доставка;25;124.0
2025-01-09;Лазарева;самовывоз;4;7.0
2025-01-09;Левітана;Glovo;7;19.0
2025-01-09;Левітана;доставка;25;111.0
2025-01-09;Левітана;самовывоз;9;21.0
2025-01-10;Лазарева;Glovo;4;8.0
2025-01-10;Лазарева;доставка;39;161.7
2025-01-10;Лазарева;самовывоз;2;4.0
2025-01-10;Левітана;Glovo;14;50.0
2025-01-10;Левітана;доставка;43;182.0
2025-01-10;Левітана;самовывоз;9;36.0
2025-01-11;Лазарева;Glovo;8;23.0
2025-01-11;Лазарева;доставка;42;172.0
2025-01-11;Лазарева;самовывоз;5;13.0
2025-01-11;Левітана;Glovo;12;29.0
