дата;точка;новых_гостей;повторных;заказов_новых;заказов_повторных
2025-01-01;Лазарева;27;22;27;22
2025-01-01;Левітана;32;37;32;37
2025-01-02;Лазарева;10;20;10;20
2025-01-02;Левітана;13;43;13;43
2025-01-03;Лазарева;10;34;10;34
2025-01-03;Левітана;7;40;7;40
2025-01-04;Лазарева;10;36;10;36
2025-01-04;Левітана;12;48;12;48
2025-01-05;Лазарева;11;27;11;28
2025-01-05;Левітана;4;41;4;41
2025-01-06;Лазарева;4;24;4;24
2025-01-06;Левітана;6;52;6;52
2025-01-07;Лазарева;11;28;11;28
2025-01-07;Левітана;18;30;18;30
2025-01-08;Лазарева;8;31;9;31
2025-01-08;Левітана;4;43;4;44
2025-01-09;Лазарева;9;24;9;24
2025-01-09;Левітана;7;34;7;34
2025-01-10;Лазарева;9;35;9;36
2025-01-10;Левітана;10;56;10;56
2025-01-11;Лазарева;12;43;12;43
2025-01-11;Левітана;8;54;8;54
2025-01-12;Лазарева;17;33;17;33
2025-01-12;Левітана;16;43;16;43
2025-01-13;Лазарева;11;27;11;27
2025-01-13;Левітана;10;34;10;35
2025-01-14;Лазарева;8;32;8;32
2025-01-14;Левітана;9;31;9;32
2025-01-15;Лазарева;10;24;10;24
2025-01-15;Левітана;5;39;5;39
2025-01-16;Лазарева;9;32;9;32
2025-01-16;Левітана;18;36;18;36
2025-01-17;Лазарева;15;59;15;59
2025-01-17;Левітана;14;69;14;70
2025-01-18;Лазарева;16;62;16;62
2025-01-18;Левітана;14;70;15;70
2025-01-19;Лазарева;14;59;14;59
2025-01-19;Левітана;14;54;14;54
2025-01-20;Лазарева;3;30;3;30
2025-01-20;Левітана;8;31;8;31
2025-01-21;Лазарева;6;29;6;29
2025-01-21;Левітана;10;38;10;38
2025-01-22;Лазарева;7;30;7;30
2025-01-22;Левітана;11;43;11;43
2025-01-23;Лазарева;8;45;8;45
2025-01-23;Левітана;10;29;10;29
2025-01-24;Лазарева;11;58;11;58
2025-01-24;Левітана;22;52;22;52
2025-01-25;Лазарева;19;46;19;46
2025-01-25;Левітана;18;73;18;73
2025-01-26;Лазарева;12;43;12;43
2025-01-26;Левітана;18;46;18;47
2025-01-27;Лазарева;9;31;9;33
2025-01-27;Левітана;8;38;8;38
2025-01-28;Лазарева;10;40;10;40
2025-01-28;Левітана;13;38;13;38
2025-01-29;Лазарева;14;32;14;33
2025-01-29;Левітана;11;33;11;34
2025-01-30;Лазарева;8;38;8;38
2025-01-30;Левітана;13;39;13;40
2025-01-31;Лазарева;12;44;12;44
2025-01-31;Левітана;11;62;11;62
2025-02-01;Лазарева;23;50;23;51
2025-02-01;Левітана;22;53;22;53
2025-02-02;Лазарева;10;45;10;45
2025-02-02;Левітана;14;58;14;58
2025-02-03;Лазарева;9;22;9;22
2025-02-03;Левітана;8;38;8;38
