месяц;точка;блюдо;артикул;категория;продано_шт;выручка
2025-01;Лазарева;.Гарного дня!;00944;Б_Прочие позиции;1482;0
2025-01;Лазарева;Cappiroll;00583;Б_Каппи_Роллы;58;21468.6
2025-01;Лазарева;Cappizza;02173;Б_Каппи_Пицца;46;13378.8
2025-01;Лазарева;G Антикризовий сет;02932;Б_Акції Глово;16;9584
2025-01;Лазарева;G Доставка;00984;Б_Каппи_Glovo;323;16129.1
2025-01;Лазарева;G Ебі сет;02936;Б_Акції Глово;2;2390
2025-01;Лазарева;G Лосось в темпурі;02763;Б_Акції Глово;6;1350
2025-01;Лазарева;G Пікантний краб;02933;Б_Акції Глово;6;1530
2025-01;Лазарева;G Рис з лососем та зеленою цибулею;02761;Б_Акції Глово;11;2585
2025-01;Лазарева;G Рол Курортний;02934;Б_Акції Глово;1;235
2025-01;Лазарева;G Салмон в бонито ;02884;Б_Акції Глово;2;458
2025-01;Лазарева;G Теплий сет;02883;Б_Акції Глово;10;7950
2025-01;Лазарева;GC_Доставка 0 грн;02503;Б_Глово_Модификаторы;12;0
2025-01;Лазарева;L`amour Сет;01729;Б_Каппи_Сет;18;18286.2
2025-01;Лазарева;Party-комбо ( Pepsi Cola з/б 0,33л -1шт та  Pepsi Cola Max з/б 0,33л - 1шт;02708;Б_Каппи_Акции;2;2190
2025-01;Лазарева;Rich 1 л. Апельсин;00352;Б_Общее_Напитки;9;937
2025-01;Лазарева;Rich 1 л. Экзотик;00172;Б_Общее_Напитки;2;210
2025-01;Лазарева;Rich 1 л. Яблуко;00415;Б_Общее_Напитки;5;516.1
2025-01;Лазарева;Імператор;00892;Б_Каппи_Роллы;22;9891.1
2025-01;Лазарева;Інь-Янь рол;01807;Б_Каппи_Роллы;12;4105.4
2025-01;Лазарева;Аляска;00513;Б_Каппи_Премиум ролл;14;5383
2025-01;Лазарева;Аморе;02781;Б_Каппи_Роллы;23;7728.6
2025-01;Лазарева;Антикризовий сет;00578;Б_Каппи_Сет;44;25646.1
2025-01;Лазарева;Банзай ;00528;Б_Каппи_Темпура ролл;174;57866.3
2025-01;Лазарева;Бао бургер з крабом;02966;Б_Каппи_БАО;9;2280
2025-01;Лазарева;Бао бургер з креветкою;02967;Б_Каппи_БАО;10;3397.2
2025-01;Лазарева;Бао бургер з лососем;02968;Б_Каппи_БАО;9;2588
2025-01;Лазарева;Без приборів!;01593;Б_Прочие позиции;56;0
2025-01;Лазарева;Боніто з лососем;00154;Б_Каппи_Роллы;17;4273.1
2025-01;Лазарева;Боніто з тунцем;00512;Б_Каппи_Роллы;9;2421.8
2025-01;Лазарева;Боул Дабл Фіш;01886;Б_Каппи_Боул;21;7698.7
2025-01;Лазарева;Боул Філадельфія;01887;Б_Каппи_Боул;20;6641.2
2025-01;Лазарева;Боул з Куркою;01891;Б_Каппи_Боул;13;3163.8
2025-01;Лазарева;Боул з Лососем;01890;Б_Каппи_Боул;15;5388.7
2025-01;Лазарева;Вершкова креветка;00775;Б_Каппи_Роллы;51;18049.6
2025-01;Лазарева;Веселка;00509;Б_Каппи_Роллы;68;25126.9
2025-01;Лазарева;Весняний Сет;01844;Б_Каппи_Сет;16;14486.4
2025-01;Лазарева;Вишуканий дует;02989;Б_Каппи_Акции;2;1115.5
2025-01;Лазарева;Вугор сет;02711;Б_Каппи_Сет;5;5275
2025-01;Лазарева;Вулкан Фудзіяма;02835;Б_Каппи_Роллы;1;355
2025-01;Лазарева;Вулкан з креветкою;02799;Б_Каппи_Роллы;31;8632
2025-01;Лазарева;Д Імбир Cappi 30 гр.;01049;Б_Каппи_Добавки;124;1462.3
